firstName,lastName,onLoan,height,weight,position,rosterCategory,playerCategories,jerseyNumber,Team,Games played,Minutes played,Starts,Subbed off,Clearances,Blocks,Interceptions,Success Rate - Tackles,Success Rate - Duels,Success Rate - Aerial Duels,Success Rate - Passes,Total passes,Successful passes,Passes per 90 mins,Success Rate - Long Passes,Pass Direction - Forward,Pass Direction - Left,Pass Direction - Right,Pass Direction - Back,Pass Accuracy - Opp. Half,Pass Accuracy - Own Half,Total open play crosses,Succ. crosses,Assists,Second assists,Key Passes,Total shots (excluding blocked shots),Shots on target,Goals scored,Conversion rate,Mins per goal,Left foot goals,Right foot goals,Headed goals,Other,Goals inside the box,Goals outside the box,Direct free kick goals,Fouls won,Fouls conceded,Yellow cards,Red cards,Success Rate - Saves,Clean sheets,Catches,Punches,Drops,Penalties saved
Daniel,Pereira,FALSE,175,68,Midfielder,Supplemental Slots 21-24,Generation adidasInternational,6,atx,20,"1,754",20,3,19,8,23,53.80%,50.90%,40%,88.20%,"1,088",960,55.8,64.10%,21.90%,29.00%,29.70%,19.50%,80.40%,94.20%,19,7,2,1,19,9,4,0,0%,-,0,0,0,0,0,0,0,43,31,5,0,,,,,,
Jhohan,Romaña,TRUE,185,79,Defender,Senior,,,atx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam,Lundkvist,FALSE,175,65,Defender,Senior,,21,atx,17,663,6,3,10,4,7,47.60%,57.10%,46.70%,75.40%,260,196,35.3,47.40%,36.50%,1.50%,28.80%,33.10%,60%,83.20%,27,6,2,0,7,6,3,0,0%,-,0,0,0,0,0,0,0,7,5,1,0,,,,,,
Jon,Gallagher,FALSE,175,72,Defender,Senior,,17,atx,20,"1,579",17,4,22,4,14,60%,50%,37%,77.90%,566,441,32.3,28.60%,28.60%,13.40%,23.90%,34.10%,66.80%,81.40%,53,8,1,2,10,12,8,5,41.70%,315.8,3,1,1,0,4,1,0,20,12,3,0,,,,,,
Julio,Cascante,FALSE,186,75,Defender,Senior,,18,atx,11,895,11,2,46,9,13,72.70%,61.70%,59.40%,85.90%,697,599,70.1,58.80%,35.70%,36.20%,23.20%,4.90%,72.70%,92.80%,0,0,2,2,4,14,6,2,14.30%,447.5,0,0,2,0,2,0,0,12,9,3,0,,,,,,
Matt,Bersano,FALSE,185,83,Goalkeeper,Senior,,20,atx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,Ring,FALSE,178,73,Midfielder,Senior,Designated Player,8,atx,17,"1,345",16,4,54,13,22,56.50%,52.90%,51.50%,84.70%,988,837,66.1,50.30%,43.00%,27.30%,21.50%,8.20%,71.90%,93.40%,9,2,0,0,4,7,1,0,0%,-,0,0,0,0,0,0,0,4,13,3,0,,,,,,
Nick,Lima,FALSE,176,80,Defender,Senior,,24,atx,19,"1,278",13,1,33,6,11,65%,52%,50%,82.10%,564,463,39.7,35.40%,36.20%,40.20%,5.70%,17.90%,64.70%,90.40%,54,14,2,1,24,6,2,1,16.70%,"1,278",0,1,0,0,1,0,0,10,8,5,0,,,,,,
Amro,Tarek,FALSE,192,88,Defender,Senior,,3,atx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan,Finlay,FALSE,176,73,Midfielder,Senior,,13,atx,20,930,10,10,9,0,3,50%,40.30%,40.90%,79.70%,182,145,17.6,28.60%,29.10%,22.50%,19.20%,29.10%,69.20%,82.30%,23,5,2,1,7,14,7,3,21.40%,310,1,1,1,0,3,0,0,3,8,2,0,,,,,,
Hector,Jimenez,FALSE,176,64,Defender,Supplemental Slots 21-24,,16,atx,2,50,1,1,0,0,1,-,25%,33.30%,72.20%,18,13,32.4,100%,11.10%,44.40%,22.20%,22.20%,50%,87.50%,2,0,0,0,2,0,0,0,-,-,0,0,0,0,0,0,0,1,0,0,0,,,,,,
Gyasi,Zardes,FALSE,188,80,Forward,Senior,,9,atx,19,"1,105",13,13,9,1,1,55.60%,46.20%,44.30%,71.30%,178,127,14.5,50%,25.80%,24.20%,20.80%,29.20%,62%,94.20%,3,2,1,0,9,17,7,5,29.40%,221,0,1,4,0,5,0,0,19,8,1,0,,,,,,
Brad,Stuver,FALSE,191,82,Goalkeeper,Senior,,1,atx,20,"1,800",20,0,17,,,,,,74.30%,703,522,35.2,38.60%,57.30%,21.50%,21.20%,0.00%,33.80%,89.80%,0,0,0,0,0,,,,,,,,,,,,,2,0,0,0,72.30%,5,18,9,1,0
Will,Bruin,FALSE,188,88,Forward,Senior,,29,atx,8,60,0,0,1,0,0,-,42.90%,50%,77.80%,9,7,13.5,-,11.10%,11.10%,33.30%,44.40%,33.30%,100%,0,0,0,0,0,2,1,1,50%,60,0,0,1,0,1,0,0,2,3,1,0,,,,,,
Diego,Fagundez,FALSE,173,64,Midfielder,Senior,,14,atx,16,831,11,11,10,0,2,58.30%,37.20%,12.50%,87.50%,288,252,31.2,68.80%,22.60%,15.60%,26.00%,35.80%,73.50%,91.40%,10,1,1,1,14,10,6,1,10%,831,0,1,0,0,0,1,0,9,10,1,0,,,,,,
Maximiliano,Urruti,FALSE,183,75,Forward,Senior,,37,atx,18,674,7,7,0,1,2,25%,46.40%,40%,80.60%,93,75,12.4,60%,25.80%,15.10%,25.80%,33.30%,77.40%,84.40%,1,0,0,0,7,11,3,1,9.10%,674,0,1,0,0,1,0,0,15,11,2,0,,,,,,
David,Poreba,FALSE,182,,Midfielder,,,58,clt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack,Neeley,FALSE,185,77,Defender,Supplemental Slots 29-30,Homegrown,37,clt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,Agyemang,FALSE,193,,Forward,Supplemental Slots 25-28,,33,clt,6,102,1,1,1,0,0,-,40%,55.60%,72.20%,18,13,15.9,-,11.10%,22.20%,27.80%,38.90%,73.30%,66.70%,0,0,0,0,1,3,2,1,33.30%,102,0,0,1,0,1,0,0,2,7,1,0,,,,,,
Andrew,Privett,FALSE,,,Midfielder,Supplemental Slots 25-28,,34,clt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas,Scardina,FALSE,180,74,Midfielder,Supplemental Slots 31,,35,clt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamady,Diop,FALSE,183,,Defender,Supplemental Slots 25-28,Generation adidasInternational,32,clt,3,35,0,1,5,0,0,100%,85.70%,100%,63.60%,11,7,28.3,0%,54.50%,9.10%,27.30%,9.10%,75%,57.10%,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,1,0,0,0,,,,,,
Enzo,Copetti,FALSE,178,74,Forward,Senior,Designated PlayerInternational,9,clt,15,"1,310",15,4,10,1,4,50%,35.50%,46.40%,64.80%,347,225,23.8,66.70%,19.00%,24.80%,24.20%,32.00%,59.20%,79.30%,7,1,1,1,15,18,8,4,22.20%,327.5,0,2,2,0,4,0,0,16,33,6,0,,,,,,
Ashley,Westwood,FALSE,175,80,Midfielder,,,8,clt,15,"1,290",15,3,10,5,6,66.70%,46%,80%,82.40%,706,582,49.3,50%,31.30%,21.70%,25.80%,21.20%,72.20%,89%,23,6,2,2,22,6,1,1,16.70%,"1,290",0,1,0,0,0,1,0,14,13,2,0,,,,,,
Brandon,Cambridge,FALSE,183,79,Midfielder,Supplemental Slots 29-30,Homegrown,36,clt,9,128,0,0,3,0,1,-,50%,0%,94.40%,36,34,25.3,100%,5.60%,25.00%,2.80%,66.70%,76.70%,100%,7,2,0,0,0,3,2,2,66.70%,64,2,0,0,0,2,0,0,6,2,0,0,,,,,,
Nimfasha,Berchimas,FALSE,,,Forward,,,27,clt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuno Miguel,Valente Santos,FALSE,165,57,Midfielder,Senior,International,77,clt,5,218,2,2,0,1,2,0%,64%,33.30%,80.40%,112,90,46.2,54.50%,39.30%,27.70%,15.20%,17.90%,67.40%,91.20%,7,2,0,0,1,4,2,0,0%,-,0,0,0,0,0,0,0,2,3,1,0,,,,,,
Nathan,Byrne,FALSE,180,84,Defender,Senior,,14,clt,17,"1,358",15,2,23,3,8,77.30%,56.10%,53.10%,79.90%,737,589,48.8,40.20%,44.00%,24.20%,17.90%,14.00%,69.80%,87.20%,24,5,1,0,5,4,3,0,0%,-,0,0,0,0,0,0,0,22,13,6,0,,,,,,
Adilson,Malanda,FALSE,185,75,Defender,Senior,International,29,clt,18,"1,580",18,3,69,14,21,61.30%,61.50%,62.50%,80.40%,"1,048",843,59.7,46%,37.20%,35.90%,20.50%,6.40%,67.20%,87%,2,2,0,0,3,6,2,0,0%,-,0,0,0,0,0,0,0,11,18,2,0,,,,,,
Brian,Romero,FALSE,,,Forward,,,38,clt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerwin,Vargas,FALSE,180,70,Forward,Senior,InternationalU22 Initiative,18,clt,18,"1,075",13,12,11,0,14,66.70%,47.60%,48%,82.70%,421,348,35.2,30%,24.90%,16.90%,21.90%,36.30%,64.10%,92.10%,66,15,1,1,22,21,9,2,9.50%,537.5,0,2,0,0,1,1,0,15,9,3,0,,,,,,
Kamil,Józwiak,FALSE,176,70,Midfielder,Senior,InternationalDesignated Player,7,clt,11,706,8,6,11,0,5,62.50%,47.60%,55.60%,78.80%,273,215,34.8,50%,23.40%,28.20%,20.10%,28.20%,70.60%,86.80%,18,6,3,1,14,7,3,2,28.60%,353,0,1,1,0,2,0,0,10,19,2,0,,,,,,
Karol,Swiderski,FALSE,184,77,Forward,Senior,InternationalDesignated Player,11,clt,17,"1,385",16,6,3,3,3,66.70%,42.10%,35%,72.20%,388,280,25.2,37.50%,25.80%,29.10%,16.80%,28.40%,59.50%,90.20%,17,2,3,0,16,31,15,5,16.10%,277,3,2,0,0,4,1,0,18,9,3,0,,,,,,
George,Marks,FALSE,185,75,Goalkeeper,Signed,,31,clt,7,630,7,0,6,,,,,,74%,231,171,33,46.70%,54.50%,22.50%,22.90%,0.00%,38%,90%,0,0,0,0,0,,,,,,,,,,,,,1,0,1,0,71.40%,1,3,2,0,0
Benjamin,Bender,FALSE,,,Midfielder,Supplemental Slots 21-24,Generation adidas,15,clt,11,510,6,6,4,0,2,54.50%,41.20%,35.30%,80.80%,167,135,29.5,44.40%,23.40%,29.30%,22.80%,24.60%,72.70%,89.40%,6,2,2,0,12,7,5,3,42.90%,170,1,2,0,0,3,0,0,4,10,1,0,,,,,,
Christopher,Hegardt,FALSE,175,65,Midfielder,Supplemental Slots 21-24,Homegrown,19,clt,4,53,0,0,0,0,0,50%,44.40%,100%,88%,25,22,42.5,80%,28.00%,12.00%,32.00%,28.00%,72%,100%,1,0,0,0,2,0,0,0,-,-,0,0,0,0,0,0,0,1,3,1,0,,,,,,
Jan,Sobocinski,FALSE,186,,Defender,Senior,,2,clt,9,471,5,2,16,3,6,80%,51.90%,50%,84.70%,314,266,60,49.20%,38.50%,15.90%,37.60%,8.00%,68.30%,92.40%,1,0,0,0,0,2,1,0,0%,-,0,0,0,0,0,0,0,8,7,3,0,,,,,,
Guzmán,Corujo,FALSE,189,85,Defender,Senior,International,4,clt,3,163,2,2,7,1,2,100%,66.70%,66.70%,78.40%,74,58,40.9,37.50%,37.80%,33.80%,20.30%,8.10%,61.90%,84.90%,0,0,0,0,0,2,0,0,0%,-,0,0,0,0,0,0,0,1,2,1,0,,,,,,
Kristijan,Kahlina,FALSE,,,Goalkeeper,Senior,International,1,clt,10,900,10,0,11,,,,,,65.90%,323,213,32.3,39.30%,63.20%,16.40%,20.40%,0.00%,35.10%,87%,0,0,1,0,1,,,,,,,,,,,,,1,0,1,0,61.90%,2,6,4,0,0
Vinicius,Silveira de Mello,FALSE,178,84,Forward,Senior,InternationalU22 Initiative,21,clt,3,54,0,0,2,0,0,-,46.20%,33.30%,87%,23,20,38.3,100%,17.40%,34.80%,13.00%,34.80%,83.30%,83.30%,1,0,0,0,0,1,0,0,0%,-,0,0,0,0,0,0,0,2,1,0,0,,,,,,
McKinze,Gaines,FALSE,181,74,Forward,Senior,,17,clt,13,491,5,4,2,1,2,71.40%,45.90%,25%,82.10%,140,115,25.7,100%,22.90%,30.00%,14.30%,32.90%,67.20%,91.70%,27,6,1,0,7,4,2,0,0%,-,0,0,0,0,0,0,0,8,10,3,0,,,,,,
Brandt,Bronico,FALSE,176,70,Midfielder,Senior,,13,clt,19,"1,576",17,2,23,6,14,64.50%,44.10%,56.40%,81.90%,690,565,39.4,63%,30.00%,20.70%,31.60%,17.70%,74.70%,87%,16,3,0,2,8,5,3,1,20%,"1,576",0,1,0,0,1,0,0,17,36,3,0,,,,,,
Pablo,Sisniega,FALSE,190,80,Goalkeeper,Senior,,23,clt,3,270,3,0,2,,,,,,63.80%,58,37,19.3,34.50%,65.50%,17.20%,17.20%,0.00%,27.30%,86.10%,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,56.30%,0,0,0,1,0
Andre,Shinyashiki,FALSE,176,69,Forward,Senior,,16,clt,5,191,2,2,0,0,1,50%,36.60%,33.30%,77.50%,71,55,33.5,50%,29.60%,15.50%,35.20%,19.70%,62.30%,88.90%,9,2,0,0,3,2,1,0,0%,-,0,0,0,0,0,0,0,5,6,1,0,,,,,,
Joseph,Mora,FALSE,175,60,Defender,Senior,,28,clt,4,190,2,1,4,0,4,60%,56.50%,55.60%,64.50%,76,49,36,0%,60.50%,10.50%,19.70%,9.20%,55.30%,63.20%,9,1,0,0,1,0,0,0,-,-,0,0,0,0,0,0,0,3,3,0,0,,,,,,
Jaylin,Lindsey,FALSE,178,77,Defender,Senior,Homegrown,24,clt,14,868,10,3,19,2,10,68.20%,57.60%,65.40%,80.80%,454,367,47.1,34.60%,40.50%,34.10%,7.30%,18.10%,67.70%,88.80%,26,3,1,3,4,4,1,1,25%,868,0,1,0,0,1,0,0,6,13,2,0,,,,,,
Scott,Arfield,FALSE,178,70,Midfielder,Signed,,,clt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton,Walkes,FALSE,187,82,Defender,Senior,,5,clt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
